Fund Name,Ticker,Shares,Unit Price,Market Value,Employee Contributions,Employer Contributions,As Of
Vanguard Total Stock Market Index Fund,VTI,124.5,250.00,31125.00,18400,9200,2026-05-17
Vanguard Total Bond Market Index Fund,BND,80.2,72.50,5814.50,8200,4100,2026-05-17
Vanguard Total International Stock Index Fund,VXUS,45.8,62.40,2857.92,3600,1800,2026-05-17
Vanguard Real Estate Index Fund,VNQ,28.4,88.20,2504.88,2200,1100,2026-05-17
Vanguard Small Cap Index Fund,VB,15.6,225.40,3516.24,2800,1400,2026-05-17
Vanguard Mid Cap Index Fund,VO,22.3,275.10,6134.73,4400,2200,2026-05-17
Vanguard Growth Index Fund,VUG,12.8,365.20,4674.56,3600,1800,2026-05-17
Vanguard Value Index Fund,VTV,18.5,168.40,3115.40,2400,1200,2026-05-17
Vanguard High Dividend Yield Index Fund,VYM,32.1,128.20,4115.22,3200,1600,2026-05-17
Vanguard Emerging Markets Index Fund,VWO,42.6,48.50,2066.10,1600,800,2026-05-17
Vanguard Short-Term Bond Index Fund,BSV,55.4,77.20,4276.88,3400,1700,2026-05-17
Vanguard Inflation-Protected Securities Fund,VTIP,38.2,48.80,1864.16,1500,750,2026-05-17
