Fund Name,Ticker,Shares,Unit Price,Market Value,Employee Contributions,Employer Contributions,As Of
Vanguard Total Stock Market Index Fund,VTI,12.4,148.20,1837.68,1800,900,2019-03-31
Vanguard Total Bond Market Index Fund,BND,15.2,82.20,1249.44,1100,550,2019-03-31
Vanguard Total International Stock Index Fund,VXUS,8.1,52.40,424.44,400,200,2019-03-31
Vanguard Total Stock Market Index Fund,VTI,18.2,154.40,2810.08,2400,1200,2019-06-30
Vanguard Total Bond Market Index Fund,BND,22.4,83.10,1861.44,1500,750,2019-06-30
Vanguard Total International Stock Index Fund,VXUS,12.5,54.20,677.50,600,300,2019-06-30
Vanguard Total Stock Market Index Fund,VTI,24.1,158.40,3817.44,3000,1500,2019-09-30
Vanguard Total Bond Market Index Fund,BND,28.6,84.50,2416.70,1900,950,2019-09-30
Vanguard Total International Stock Index Fund,VXUS,16.4,55.10,903.64,800,400,2019-09-30
Vanguard Total Stock Market Index Fund,VTI,30.8,168.20,5180.56,3600,1800,2019-12-31
Vanguard Total Bond Market Index Fund,BND,34.2,83.80,2865.96,2300,1150,2019-12-31
Vanguard Total International Stock Index Fund,VXUS,20.5,58.40,1197.20,1000,500,2019-12-31
Vanguard Real Estate Index Fund,VNQ,4.2,92.40,388.08,400,200,2019-12-31
Vanguard Total Stock Market Index Fund,VTI,38.5,128.40,4943.40,4200,2100,2020-03-31
Vanguard Total Bond Market Index Fund,BND,40.1,85.20,3416.52,2700,1350,2020-03-31
Vanguard Total International Stock Index Fund,VXUS,25.2,48.20,1214.64,1200,600,2020-03-31
Vanguard Real Estate Index Fund,VNQ,8.4,72.10,605.64,600,300,2020-03-31
Vanguard Total Stock Market Index Fund,VTI,45.2,162.40,7340.48,4800,2400,2020-06-30
Vanguard Total Bond Market Index Fund,BND,46.5,87.40,4064.10,3100,1550,2020-06-30
Vanguard Total International Stock Index Fund,VXUS,30.1,52.30,1574.23,1400,700,2020-06-30
Vanguard Real Estate Index Fund,VNQ,12.6,78.20,985.32,800,400,2020-06-30
Vanguard Total Stock Market Index Fund,VTI,52.4,182.40,9558.36,5400,2700,2020-09-30
Vanguard Total Bond Market Index Fund,BND,52.8,87.80,4635.84,3500,1750,2020-09-30
Vanguard Total International Stock Index Fund,VXUS,35.4,54.10,1915.14,1600,800,2020-09-30
Vanguard Real Estate Index Fund,VNQ,16.8,75.40,1266.72,1000,500,2020-09-30
