Account name,Account number,Account type,Sub account,Description,Ticker,CUSIP,Quantity,Price,Value,Cost,Acquisition Date,Unit Cost,Acct Type
"Self-Directed","XXXX1234","Brokerage","","APPLE INC","AAPL","037833100","6.024","204.04","1229.14","1615.22","01/01/2020","268.13","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","MICROSOFT CORP","MSFT","594918104","20.077","107.03","2148.84","7153.23","02/02/2021","356.29","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","ALPHABET INC CL A","GOOGL","02079K305","19.083","396.48","7566.03","6343.19","03/03/2022","332.40","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","AMAZON COM INC","AMZN","023135106","11.376","359.89","4094.11","4131.19","04/04/2023","363.15","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","NVIDIA CORP","NVDA","67066G104","5.290","184.75","977.33","1138.36","05/05/2024","215.19","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","WALT DISNEY CO","DIS","254687106","9.158","58.58","536.48","505.52","06/06/2025","55.20","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","META PLATFORMS INC","META","30303M102","11.312","168.86","1910.14","5088.48","07/07/2020","449.83","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","VANGUARD S&P 500 ETF","VOO","922908363","20.087","253.10","5084.02","7347.02","08/08/2021","365.76","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","VANGUARD TOTAL STOCK","VTI","922908769","3.816","498.80","1903.42","1410.62","09/09/2022","369.66","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","SPDR S&P 500 ETF","SPY","78462F103","10.832","193.46","2095.56","2471.65","10/10/2023","228.18","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","VANGUARD FTSE DEVELOPED MKTS","VEA","921943858","9.468","424.58","4019.92","1022.54","11/11/2024","108.00","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","COCA-COLA CO","KO","191216100","8.058","479.65","3865.02","1416.44","12/12/2025","175.78","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","INTEL CORP","INTC","458140100","14.934","96.19","1436.50","2959.77","01/13/2020","198.19","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","JOHNSON & JOHNSON","JNJ","478160104","18.431","361.68","6666.12","6301.56","02/14/2021","341.90","Brokerage"
