Trade Date,Settle Date,Transaction Type,Quantity,Symbol,Description,Price,Net Amount
2024-08-15,2024-08-17,Purchase,15,VTI,VANGUARD TOTAL STOCK,250.00,-3750.00
2024-08-01,2024-08-01,Dividend,0,VTI,VANGUARD TOTAL STOCK,0,32.40
2024-07-20,2024-07-22,Redemption,5,VTI,VANGUARD TOTAL STOCK,245.00,1225.00
2024-07-05,2024-07-05,Reinvest Dividend,0.125,VTI,VANGUARD TOTAL STOCK,240.00,-30.00
2024-06-12,2024-06-14,Purchase,10,AAPL,APPLE INC,195.40,-1954.00
2024-05-15,2024-05-15,Dividend,0,AAPL,APPLE INC,0,12.50
2024-05-02,2024-05-04,Purchase,5,MSFT,MICROSOFT CORP,408.20,-2041.00
2024-04-18,2024-04-20,Purchase,8,VOO,VANGUARD S&P 500 ETF,475.50,-3804.00
2024-04-01,2024-04-01,Reinvest Dividend,0.215,VTI,VANGUARD TOTAL STOCK,248.40,-53.41
2024-03-15,2024-03-15,Dividend,0,MSFT,MICROSOFT CORP,0,18.20
2024-02-22,2024-02-26,Redemption,3,MSFT,MICROSOFT CORP,402.10,1206.30
2024-02-05,2024-02-07,Purchase,12,AAPL,APPLE INC,188.20,-2258.40
