Trade Date,Settle Date,Transaction Type,Quantity,Symbol,Description,Price,Net Amount
2019-03-15,2019-03-19,Purchase,40,VTI,VANGUARD TOTAL STOCK,142.20,-5688.00
2019-04-08,2019-04-10,Purchase,20,AAPL,APPLE INC,51.40,-1028.00
2019-05-14,2019-05-16,Purchase,12,MSFT,MICROSOFT CORP,127.80,-1533.60
2019-06-14,2019-06-14,Dividend,0,VTI,VANGUARD TOTAL STOCK,0,52.40
2019-07-22,2019-07-24,Purchase,5,VOO,VANGUARD S&P 500 ETF,275.10,-1375.50
2019-08-15,2019-08-15,Dividend,0,AAPL,APPLE INC,0,13.20
2019-09-12,2019-09-12,Reinvest Dividend,0.358,VTI,VANGUARD TOTAL STOCK,148.40,-53.13
2019-10-04,2019-10-08,Purchase,30,BND,VANGUARD TOTAL BOND,82.10,-2463.00
2019-11-12,2019-11-12,Dividend,0,MSFT,MICROSOFT CORP,0,14.40
2019-12-06,2019-12-10,Purchase,15,AAPL,APPLE INC,68.20,-1023.00
2020-01-15,2020-01-15,Dividend,0,VTI,VANGUARD TOTAL STOCK,0,58.40
2020-02-10,2020-02-12,Purchase,4,VOO,VANGUARD S&P 500 ETF,304.10,-1216.40
2020-03-20,2020-03-24,Purchase,50,VTI,VANGUARD TOTAL STOCK,118.40,-5920.00
2020-03-25,2020-03-27,Purchase,30,AAPL,APPLE INC,59.20,-1776.00
2020-04-08,2020-04-10,Purchase,15,MSFT,MICROSOFT CORP,158.40,-2376.00
2020-05-14,2020-05-14,Dividend,0,AAPL,APPLE INC,0,18.40
2020-06-15,2020-06-15,Reinvest Dividend,0.482,VTI,VANGUARD TOTAL STOCK,160.20,-77.22
2020-07-20,2020-07-22,Purchase,18,BND,VANGUARD TOTAL BOND,87.40,-1573.20
2020-08-14,2020-08-14,Dividend,0,VTI,VANGUARD TOTAL STOCK,0,72.40
2020-09-02,2020-09-04,Redemption,3,AAPL,APPLE INC,128.40,385.20
2020-10-15,2020-10-19,Purchase,5,VOO,VANGUARD S&P 500 ETF,318.20,-1591.00
2020-11-12,2020-11-12,Dividend,0,MSFT,MICROSOFT CORP,0,16.30
2020-12-04,2020-12-08,Purchase,20,AAPL,APPLE INC,122.10,-2442.00
2020-12-21,2020-12-21,Reinvest Dividend,0.428,VTI,VANGUARD TOTAL STOCK,189.40,-81.07
2021-01-19,2021-01-21,Purchase,6,MSFT,MICROSOFT CORP,212.40,-1274.40
2021-02-08,2021-02-10,Purchase,5,VOO,VANGUARD S&P 500 ETF,361.40,-1807.00
2021-03-01,2021-03-03,Purchase,12,AAPL,APPLE INC,127.80,-1533.60
2021-03-22,2021-03-22,Reinvest Dividend,0.405,VTI,VANGUARD TOTAL STOCK,210.40,-85.21
2021-04-15,2021-04-15,Dividend,0,AAPL,APPLE INC,0,25.20
2021-05-05,2021-05-05,Wire Transfer,0,,WIRE TRANSFER OUTGOING,0,-2500.00
2021-06-14,2021-06-16,Purchase,15,BND,VANGUARD TOTAL BOND,84.80,-1272.00
2021-07-15,2021-07-19,Redemption,5,AAPL,APPLE INC,148.40,742.00
2021-08-23,2021-08-25,Purchase,8,VTI,VANGUARD TOTAL STOCK,228.40,-1827.20
2021-09-13,2021-09-13,Dividend,0,MSFT,MICROSOFT CORP,0,18.40
2021-10-04,2021-10-06,Purchase,3,VOO,VANGUARD S&P 500 ETF,432.10,-1296.30
2021-11-15,2021-11-15,Dividend,0,VTI,VANGUARD TOTAL STOCK,0,88.40
2021-12-06,2021-12-08,Reinvest Dividend,0.192,BND,VANGUARD TOTAL BOND,84.40,-16.20
2022-01-14,2022-01-18,Purchase,4,MSFT,MICROSOFT CORP,310.20,-1240.80
2022-02-14,2022-02-14,Dividend,0,AAPL,APPLE INC,0,28.40
2022-03-04,2022-03-08,Purchase,8,VOO,VANGUARD S&P 500 ETF,418.40,-3347.20
2022-03-21,2022-03-23,Redemption,3,VTI,VANGUARD TOTAL STOCK,218.40,655.20
2022-04-12,2022-04-14,Purchase,10,AAPL,APPLE INC,165.20,-1652.00
2022-05-04,2022-05-04,Dividend,0,VTI,VANGUARD TOTAL STOCK,0,96.40
2022-06-13,2022-06-15,Purchase,15,BND,VANGUARD TOTAL BOND,72.40,-1086.00
2022-07-25,2022-07-25,Reinvest Dividend,0.412,VTI,VANGUARD TOTAL STOCK,201.40,-82.98
2022-08-15,2022-08-15,Dividend,0,MSFT,MICROSOFT CORP,0,21.40
2022-09-12,2022-09-14,Purchase,5,AAPL,APPLE INC,155.20,-776.00
2022-10-03,2022-10-05,Wire Transfer,0,,WIRE TRANSFER INCOMING,0,5000.00
2022-10-24,2022-10-26,Purchase,4,MSFT,MICROSOFT CORP,232.40,-929.60
2022-11-14,2022-11-14,Dividend,0,AAPL,APPLE INC,0,31.20
2022-12-05,2022-12-07,Purchase,6,VTI,VANGUARD TOTAL STOCK,195.40,-1172.40
2022-12-22,2022-12-22,Reinvest Dividend,0.308,BND,VANGUARD TOTAL BOND,71.40,-21.99
2023-01-17,2023-01-19,Purchase,4,MSFT,MICROSOFT CORP,238.20,-952.80
2023-02-14,2023-02-14,Dividend,0,VTI,VANGUARD TOTAL STOCK,0,108.40
2023-02-27,2023-03-01,Purchase,8,AAPL,APPLE INC,148.40,-1187.20
2023-03-22,2023-03-24,Purchase,4,VOO,VANGUARD S&P 500 ETF,388.40,-1553.60
2023-04-14,2023-04-14,Reinvest Dividend,0.398,VTI,VANGUARD TOTAL STOCK,220.40,-87.72
2023-05-09,2023-05-11,Redemption,15,BND,VANGUARD TOTAL BOND,71.40,1071.00
2023-06-15,2023-06-15,Dividend,0,MSFT,MICROSOFT CORP,0,23.40
2023-07-12,2023-07-14,Purchase,6,AAPL,APPLE INC,192.40,-1154.40
2023-08-01,2023-08-01,Dividend,0,AAPL,APPLE INC,0,34.20
2023-08-28,2023-08-30,Purchase,18,BND,VANGUARD TOTAL BOND,71.20,-1281.60
2023-09-15,2023-09-19,Purchase,3,VOO,VANGUARD S&P 500 ETF,408.10,-1224.30
2023-10-03,2023-10-03,Dividend,0,VTI,VANGUARD TOTAL STOCK,0,114.20
2023-11-14,2023-11-14,Dividend,0,AAPL,APPLE INC,0,36.40
2023-12-04,2023-12-06,Purchase,5,VTI,VANGUARD TOTAL STOCK,232.10,-1160.50
2023-12-20,2023-12-20,Reinvest Dividend,0.225,BND,VANGUARD TOTAL BOND,71.20,-16.02
2024-01-18,2024-01-22,Purchase,3,MSFT,MICROSOFT CORP,388.40,-1165.20
2024-02-05,2024-02-07,Purchase,6,AAPL,APPLE INC,188.20,-1129.20
2024-02-14,2024-02-14,Dividend,0,VTI,VANGUARD TOTAL STOCK,0,122.40
2024-03-15,2024-03-19,Purchase,4,VOO,VANGUARD S&P 500 ETF,478.20,-1912.80
2024-04-03,2024-04-03,Reinvest Dividend,0.412,VTI,VANGUARD TOTAL STOCK,251.40,-103.58
2024-05-10,2024-05-14,Purchase,20,BND,VANGUARD TOTAL BOND,72.30,-1446.00
2024-05-17,2024-05-17,Dividend,0,AAPL,APPLE INC,0,38.20
2024-06-12,2024-06-14,Purchase,2,MSFT,MICROSOFT CORP,425.10,-850.20
2024-07-08,2024-07-10,Redemption,10,AAPL,APPLE INC,225.80,2258.00
2024-07-22,2024-07-22,Dividend,0,VTI,VANGUARD TOTAL STOCK,0,124.40
2024-08-15,2024-08-19,Purchase,3,VOO,VANGUARD S&P 500 ETF,540.40,-1621.20
2024-08-28,2024-08-30,Reinvest Dividend,0.218,BND,VANGUARD TOTAL BOND,72.60,-15.83
2024-09-13,2024-09-13,Dividend,0,MSFT,MICROSOFT CORP,0,28.20
2024-09-25,2024-09-27,Purchase,5,AAPL,APPLE INC,228.20,-1141.00
2024-10-15,2024-10-17,Purchase,4,VTI,VANGUARD TOTAL STOCK,278.40,-1113.60
2024-10-30,2024-11-01,Wire Transfer,0,,WIRE TRANSFER INCOMING,0,10000.00
2024-11-14,2024-11-14,Dividend,0,AAPL,APPLE INC,0,40.20
2024-12-02,2024-12-04,Purchase,2,VOO,VANGUARD S&P 500 ETF,580.20,-1160.40
2024-12-18,2024-12-18,Reinvest Dividend,0.395,VTI,VANGUARD TOTAL STOCK,288.40,-113.92
2025-01-09,2025-01-13,Purchase,3,MSFT,MICROSOFT CORP,420.80,-1262.40
2025-02-14,2025-02-14,Dividend,0,VTI,VANGUARD TOTAL STOCK,0,132.40
2025-02-26,2025-02-28,Purchase,5,AAPL,APPLE INC,238.10,-1190.50
2025-03-12,2025-03-14,Redemption,3,VOO,VANGUARD S&P 500 ETF,548.20,1644.60
2025-04-04,2025-04-04,Reinvest Dividend,0.220,BND,VANGUARD TOTAL BOND,72.80,-16.02
2025-04-22,2025-04-22,Dividend,0,AAPL,APPLE INC,0,42.10
2025-05-15,2025-05-19,Purchase,15,BND,VANGUARD TOTAL BOND,72.20,-1083.00
2025-06-11,2025-06-13,Purchase,2,MSFT,MICROSOFT CORP,452.30,-904.60
2025-07-14,2025-07-16,Purchase,4,AAPL,APPLE INC,228.50,-914.00
2025-07-25,2025-07-25,Reinvest Dividend,0.398,VTI,VANGUARD TOTAL STOCK,295.10,-117.45
2025-08-13,2025-08-13,Dividend,0,MSFT,MICROSOFT CORP,0,29.80
2025-08-27,2025-08-29,Purchase,2,VOO,VANGUARD S&P 500 ETF,572.40,-1144.80
2025-09-15,2025-09-17,Purchase,3,VTI,VANGUARD TOTAL STOCK,298.50,-895.50
2025-10-14,2025-10-14,Dividend,0,VTI,VANGUARD TOTAL STOCK,0,142.30
2025-10-28,2025-10-30,Purchase,5,AAPL,APPLE INC,242.00,-1210.00
2025-11-14,2025-11-14,Reinvest Dividend,0.205,BND,VANGUARD TOTAL BOND,72.40,-14.84
2025-11-24,2025-11-24,Dividend,0,AAPL,APPLE INC,0,44.20
2025-12-05,2025-12-09,Wire Transfer,0,,WIRE TRANSFER OUTGOING,0,-3000.00
2025-12-19,2025-12-23,Purchase,3,MSFT,MICROSOFT CORP,438.50,-1315.50
2026-01-12,2026-01-14,Purchase,4,VTI,VANGUARD TOTAL STOCK,290.20,-1160.80
2026-01-30,2026-01-30,Dividend,0,MSFT,MICROSOFT CORP,0,30.40
2026-02-13,2026-02-17,Purchase,2,VOO,VANGUARD S&P 500 ETF,562.40,-1124.80
2026-02-27,2026-02-27,Reinvest Dividend,0.402,VTI,VANGUARD TOTAL STOCK,290.50,-116.78
2026-03-30,2026-03-30,Dividend,0,AAPL,APPLE INC,0,45.80
2026-04-07,2026-04-09,Purchase,12,BND,VANGUARD TOTAL BOND,72.50,-870.00
2026-04-24,2026-04-28,Purchase,6,AAPL,APPLE INC,232.40,-1394.40
2026-05-05,2026-05-05,Dividend,0,VTI,VANGUARD TOTAL STOCK,0,148.20
