Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
08/15/2024,Buy,AAPL,APPLE INC,10,180.50,0.00,-1805.00
08/14/2024 as of 08/13/2024,Cash Dividend,AAPL,APPLE INC,,,,24.00
07/15/2024,Sell,AAPL,APPLE INC,5,175.20,0.00,876.00
07/01/2024,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.5,250.00,0.00,-125.00
06/14/2024,Buy,VTI,VANGUARD TOTAL STOCK MKT,8,248.40,0.00,-1987.20
06/01/2024,Cash Dividend,VTI,VANGUARD TOTAL STOCK MKT,,,,38.50
05/15/2024,Buy,MSFT,MICROSOFT CORP,4,418.50,0.00,-1674.00
05/02/2024,Reinvest Dividend,VTI,VANGUARD TOTAL STOCK MKT,0.155,247.80,0.00,-38.41
04/22/2024,Sell,MSFT,MICROSOFT CORP,2,410.20,0.00,820.40
04/10/2024,Buy,VOO,VANGUARD S&P 500 ETF,3,468.50,0.00,-1405.50
03/15/2024,Cash Dividend,MSFT,MICROSOFT CORP,,,,12.80
03/05/2024,Buy,AAPL,APPLE INC,8,170.20,0.00,-1361.60
