Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
03/12/2019,Buy,VTI,VANGUARD TOTAL STOCK MKT,30,140.50,0.00,-4215.00
04/05/2019,Buy,AAPL,APPLE INC,15,50.20,0.00,-753.00
05/14/2019,Buy,MSFT,MICROSOFT CORP,10,128.40,0.00,-1284.00
06/14/2019,Cash Dividend,VTI,VANGUARD TOTAL STOCK MKT,,,,48.20
07/22/2019,Buy,VOO,VANGUARD S&P 500 ETF,5,275.40,0.00,-1377.00
08/15/2019,Cash Dividend,AAPL,APPLE INC,,,,11.40
09/06/2019,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.342,148.20,0.00,-50.69
10/01/2019,Buy,BND,VANGUARD TOTAL BOND,25,82.10,0.00,-2052.50
10/29/2019,Buy,QQQ,INVESCO QQQ TRUST,4,196.50,0.00,-786.00
11/22/2019,Cash Dividend,MSFT,MICROSOFT CORP,,,,14.00
12/13/2019,Buy,AAPL,APPLE INC,12,71.40,0.00,-856.80
01/10/2020,Buy,VOO,VANGUARD S&P 500 ETF,3,304.10,0.00,-912.30
02/05/2020,Buy,VTI,VANGUARD TOTAL STOCK MKT,20,168.30,0.00,-3366.00
03/16/2020,Buy,QQQ,INVESCO QQQ TRUST,8,184.20,0.00,-1473.60
03/23/2020,Buy,AAPL,APPLE INC,30,57.30,0.00,-1719.00
04/06/2020,Buy,MSFT,MICROSOFT CORP,12,153.80,0.00,-1845.60
05/14/2020,Cash Dividend,AAPL,APPLE INC,,,,21.50
06/15/2020,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.515,160.50,0.00,-82.66
07/22/2020,Buy,BND,VANGUARD TOTAL BOND,18,87.60,0.00,-1576.80
08/14/2020 as of 08/13/2020,Cash Dividend,VTI,VANGUARD TOTAL STOCK MKT,,,,72.30
09/02/2020,Sell,QQQ,INVESCO QQQ TRUST,4,290.40,0.00,1161.60
10/15/2020,Buy,VOO,VANGUARD S&P 500 ETF,4,318.20,0.00,-1272.80
11/12/2020,Cash Dividend,MSFT,MICROSOFT CORP,,,,16.20
12/01/2020,Buy,AAPL,APPLE INC,18,116.40,0.00,-2095.20
12/22/2020,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.428,189.30,0.00,-81.02
01/15/2021,Buy,MSFT,MICROSOFT CORP,6,212.40,0.00,-1274.40
02/05/2021,Buy,VOO,VANGUARD S&P 500 ETF,5,361.40,0.00,-1807.00
02/26/2021,Buy,AAPL,APPLE INC,10,121.30,0.00,-1213.00
03/19/2021,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.412,210.40,0.00,-86.68
04/14/2021,Cash Dividend,AAPL,APPLE INC,,,,25.20
05/04/2021,Buy,QQQ,INVESCO QQQ TRUST,3,335.40,0.00,-1006.20
06/14/2021,Buy,BND,VANGUARD TOTAL BOND,15,85.20,0.00,-1278.00
07/14/2021,Buy,AAPL,APPLE INC,8,145.20,0.00,-1161.60
07/30/2021,Sell,AAPL,APPLE INC,5,142.10,0.00,710.50
08/20/2021,Cash Dividend,VTI,VANGUARD TOTAL STOCK MKT,,,,84.20
09/13/2021,Buy,VOO,VANGUARD S&P 500 ETF,3,432.50,0.00,-1297.50
10/15/2021,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.418,228.50,0.00,-95.51
11/10/2021,Cash Dividend,MSFT,MICROSOFT CORP,,,,18.40
12/03/2021,Buy,MSFT,MICROSOFT CORP,4,329.40,0.00,-1317.60
12/20/2021,Buy,AAPL,APPLE INC,5,170.10,0.00,-850.50
01/14/2022,Buy,VTI,VANGUARD TOTAL STOCK MKT,8,232.10,0.00,-1856.80
02/04/2022,Buy,VOO,VANGUARD S&P 500 ETF,4,420.80,0.00,-1683.20
02/18/2022,Cash Dividend,AAPL,APPLE INC,,,,32.10
03/14/2022,Buy,MSFT,MICROSOFT CORP,3,278.50,0.00,-835.50
03/30/2022,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.398,221.40,0.00,-88.12
04/14/2022,Buy,QQQ,INVESCO QQQ TRUST,2,335.20,0.00,-670.40
05/05/2022,Cash Dividend,VTI,VANGUARD TOTAL STOCK MKT,,,,92.80
06/01/2022,Sell,VOO,VANGUARD S&P 500 ETF,3,380.20,0.00,1140.60
07/14/2022,Buy,AAPL,APPLE INC,10,148.40,0.00,-1484.00
08/12/2022,Cash Dividend,MSFT,MICROSOFT CORP,,,,21.30
09/02/2022,Buy,BND,VANGUARD TOTAL BOND,20,72.40,0.00,-1448.00
10/03/2022,Buy,VTI,VANGUARD TOTAL STOCK MKT,8,178.10,0.00,-1424.80
10/22/2022,Bank Interest,,SCHWAB BANK INTEREST,,,,4.20
10/28/2022,MoneyLink Transfer,,FROM CHECKING,,,,2500.00
11/14/2022,Cash Dividend,AAPL,APPLE INC,,,,28.40
12/05/2022,Buy,MSFT,MICROSOFT CORP,4,250.10,0.00,-1000.40
12/20/2022,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.512,195.40,0.00,-100.05
01/13/2023,Buy,VOO,VANGUARD S&P 500 ETF,4,378.20,0.00,-1512.80
02/14/2023,Cash Dividend,AAPL,APPLE INC,,,,31.40
02/28/2023,Buy,AAPL,APPLE INC,8,148.10,0.00,-1184.80
03/14/2023,Buy,QQQ,INVESCO QQQ TRUST,3,304.50,0.00,-913.50
04/10/2023,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.412,210.20,0.00,-86.60
05/02/2023,Cash Dividend,VTI,VANGUARD TOTAL STOCK MKT,,,,98.40
06/12/2023,Buy,MSFT,MICROSOFT CORP,3,330.40,0.00,-991.20
07/05/2023,Buy,AAPL,APPLE INC,5,192.40,0.00,-962.00
08/14/2023,Cash Dividend,MSFT,MICROSOFT CORP,,,,23.50
09/06/2023,Buy,BND,VANGUARD TOTAL BOND,15,71.20,0.00,-1068.00
09/29/2023,Buy,VTI,VANGUARD TOTAL STOCK MKT,5,218.40,0.00,-1092.00
10/15/2023,Bank Interest,,SCHWAB BANK INTEREST,,,,6.85
10/25/2023,Stock Plan Activity,,RSU LAPSE,5,150.00,0.00,750.00
11/14/2023,Cash Dividend,AAPL,APPLE INC,,,,34.20
12/01/2023,Buy,VOO,VANGUARD S&P 500 ETF,3,422.50,0.00,-1267.50
12/19/2023,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.418,232.40,0.00,-97.14
01/12/2024,Buy,MSFT,MICROSOFT CORP,3,388.40,0.00,-1165.20
02/05/2024,Buy,AAPL,APPLE INC,6,188.50,0.00,-1131.00
02/14/2024,Cash Dividend,VTI,VANGUARD TOTAL STOCK MKT,,,,112.40
03/05/2024,Buy,QQQ,INVESCO QQQ TRUST,2,440.20,0.00,-880.40
03/22/2024,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.402,250.80,0.00,-100.82
04/15/2024,Buy,VOO,VANGUARD S&P 500 ETF,3,481.20,0.00,-1443.60
05/14/2024,Cash Dividend,AAPL,APPLE INC,,,,36.50
06/05/2024,Buy,BND,VANGUARD TOTAL BOND,20,72.30,0.00,-1446.00
06/28/2024,Sell,QQQ,INVESCO QQQ TRUST,2,488.40,0.00,976.80
07/12/2024,Buy,AAPL,APPLE INC,8,225.40,0.00,-1803.20
08/14/2024 as of 08/13/2024,Cash Dividend,MSFT,MICROSOFT CORP,,,,28.90
09/03/2024,Buy,VTI,VANGUARD TOTAL STOCK MKT,4,278.40,0.00,-1113.60
09/24/2024,Buy,MSFT,MICROSOFT CORP,2,432.50,0.00,-865.00
10/15/2024,Cash Dividend,VTI,VANGUARD TOTAL STOCK MKT,,,,124.50
11/05/2024,Buy,VOO,VANGUARD S&P 500 ETF,2,562.10,0.00,-1124.20
11/14/2024,Cash Dividend,AAPL,APPLE INC,,,,38.10
12/03/2024,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.398,288.50,0.00,-114.82
12/20/2024,Buy,AAPL,APPLE INC,5,253.40,0.00,-1267.00
01/14/2025,Buy,MSFT,MICROSOFT CORP,3,420.20,0.00,-1260.60
02/05/2025,Buy,VOO,VANGUARD S&P 500 ETF,3,552.40,0.00,-1657.20
02/14/2025,Cash Dividend,VTI,VANGUARD TOTAL STOCK MKT,,,,132.40
03/03/2025,Buy,VTI,VANGUARD TOTAL STOCK MKT,5,290.40,0.00,-1452.00
03/18/2025,Buy,QQQ,INVESCO QQQ TRUST,2,492.30,0.00,-984.60
04/08/2025,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.412,288.20,0.00,-118.74
05/02/2025,Cash Dividend,AAPL,APPLE INC,,,,42.20
06/10/2025,Buy,BND,VANGUARD TOTAL BOND,15,72.10,0.00,-1081.50
07/14/2025,Buy,AAPL,APPLE INC,5,228.40,0.00,-1142.00
08/01/2025,Cash Dividend,MSFT,MICROSOFT CORP,,,,29.40
09/12/2025,Sell,VOO,VANGUARD S&P 500 ETF,3,572.10,0.00,1716.30
10/15/2025,Bank Interest,,SCHWAB BANK INTEREST,,,,8.40
10/30/2025,Buy,MSFT,MICROSOFT CORP,2,442.50,0.00,-885.00
11/14/2025,Cash Dividend,AAPL,APPLE INC,,,,44.20
12/05/2025,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.392,298.40,0.00,-116.97
12/22/2025,Buy,AAPL,APPLE INC,5,242.50,0.00,-1212.50
01/14/2026,Buy,VTI,VANGUARD TOTAL STOCK MKT,4,290.10,0.00,-1160.40
02/04/2026,Buy,VOO,VANGUARD S&P 500 ETF,2,558.20,0.00,-1116.40
02/14/2026,Cash Dividend,VTI,VANGUARD TOTAL STOCK MKT,,,,138.50
03/15/2026,Buy,MSFT,MICROSOFT CORP,2,438.40,0.00,-876.80
04/02/2026,Reinvest Shares,VTI,VANGUARD TOTAL STOCK MKT,0.402,292.40,0.00,-117.55
04/22/2026,Buy,AAPL,APPLE INC,5,238.20,0.00,-1191.00
05/05/2026,Cash Dividend,AAPL,APPLE INC,,,,46.30
